train_start,train_end,test_end,max_depth,learning_rate,n_estimators,subsample,colsample_bytree,gamma,min_child_weight,accuracy,f1,roc_auc,y_true,y_pred,y_proba
2024-02-23 23:10:00,2024-08-23 23:10:00,2024-09-20 23:10:00,4,0.01040670197563153,52,0.8427352898036261,0.8523157828342715,5,23,0.5210167389956603,0.5970585167414206,0.5359537020478116,[1. 0. 0. ... 0. 1. 0.],[1 0 1 ... 1 1 1],[0.50276405 0.4940934  0.5051811  ... 0.50562465 0.5198231  0.50880474]
2024-03-22 23:10:00,2024-09-22 23:10:00,2024-10-20 23:10:00,6,0.01203275733226057,103,0.8189194502339854,0.8675522969624958,4,30,0.5289522628642281,0.5545784968929535,0.5364879614163145,[0. 0. 0. ... 0. 1. 0.],[1 1 0 ... 1 1 1],[0.50886625 0.52072763 0.4891545  ... 0.51833653 0.50837386 0.5096642 ]
2024-04-19 23:10:00,2024-10-19 23:10:00,2024-11-16 23:10:00,5,0.040064138527640986,54,0.7523565260574727,0.9563934582620471,2,35,0.5208927464352139,0.5279745907647203,0.5247051552215052,[0. 1. 0. ... 1. 0. 0.],[0 0 0 ... 1 1 0],[0.47216687 0.4617999  0.45573413 ... 0.5649747  0.51392484 0.49416935]
2024-05-17 23:10:00,2024-11-17 23:10:00,2024-12-15 23:10:00,5,0.010954638849141028,145,0.9354229258242301,0.7689001403099803,4,49,0.5187848729076255,0.5364863250925594,0.5244403755743798,[1. 1. 0. ... 1. 1. 1.],[0 1 0 ... 0 0 1],[0.49929255 0.5202698  0.49983615 ... 0.4579958  0.47304845 0.50596285]
2024-06-14 23:10:00,2024-12-14 23:10:00,2025-01-11 23:10:00,4,0.010120622400869082,220,0.9965028533018763,0.8460789836057112,1,20,0.5241165530068196,0.5190476190476191,0.52682643284115,[1. 0. 1. ... 1. 0. 1.],[0 0 0 ... 1 1 1],[0.47806153 0.48023513 0.438081   ... 0.5268295  0.51174045 0.50595117]
2024-07-12 23:10:00,2025-01-12 23:10:00,2025-02-09 23:10:00,6,0.12316929044349653,431,0.7114545129051896,0.8397903128508644,2,22,0.5153130812151271,0.506875236533367,0.5162302740526675,[0. 1. 1. ... 1. 1. 1.],[0 1 0 ... 1 0 0],[0.3300179  0.5593164  0.45023918 ... 0.5655704  0.33890778 0.3516191 ]
2024-08-09 23:10:00,2025-02-09 23:10:00,2025-03-09 23:10:00,6,0.0273230089752139,94,0.9703470729601269,0.7043865612287105,1,46,0.5264724116553007,0.5626932325661285,0.529516615983454,[1. 1. 0. ... 1. 1. 1.],[1 0 0 ... 1 0 1],[0.520411   0.4861764  0.4882415  ... 0.5544255  0.48768464 0.5162674 ]
2024-09-06 23:10:00,2025-03-06 23:10:00,2025-04-03 23:10:00,5,0.01815504913613998,282,0.583431240321377,0.951251124378546,2,41,0.5144451332920025,0.5709903593339176,0.5253076136941788,[1. 1. 0. ... 0. 1. 0.],[1 1 0 ... 0 1 1],[0.5538376  0.50193125 0.46776566 ... 0.45680737 0.53593194 0.5220536 ]
2024-10-04 23:10:00,2025-04-04 23:10:00,2025-05-02 23:10:00,5,0.012196057414510516,338,0.6328720656157365,0.512544106916343,2,50,0.5239925604463732,0.552198763560014,0.5268589450441211,[1. 0. 0. ... 1. 1. 1.],[1 1 0 ... 0 1 0],[0.5420777  0.5835103  0.4927255  ... 0.49608314 0.5284431  0.488448  ]
2024-11-01 23:10:00,2025-05-01 23:10:00,2025-05-29 23:10:00,5,0.20519380977534854,396,0.5862744397727324,0.9323419737193508,4,20,0.5118412895226286,0.5100186683260735,0.5179063934399613,[1. 1. 0. ... 1. 0. 0.],[1 0 0 ... 0 0 1],[0.59803987 0.47562546 0.41522902 ... 0.41667122 0.37886736 0.62097496]
2024-11-29 23:10:00,2025-05-29 23:10:00,2025-06-26 23:10:00,4,0.010222029677373727,51,0.6866327394831219,0.8297961414181281,5,23,0.520272783632982,0.5407715133531157,0.525431049963887,[0. 0. 1. ... 1. 0. 1.],[0 1 1 ... 1 1 1],[0.49476376 0.51465356 0.51254225 ... 0.5047938  0.5086099  0.50139385]
2024-12-27 23:10:00,2025-06-27 23:10:00,2025-07-25 23:10:00,4,0.17728006154186116,430,0.5074832146598935,0.6726633256278108,3,50,0.5112213267203968,0.5484536082474227,0.5146657503244098,[0. 0. 1. ... 0. 1. 1.],[0 1 1 ... 1 1 1],[0.46120664 0.5892171  0.5449009  ... 0.6738681  0.8108723  0.59835196]
2025-01-24 23:10:00,2025-07-24 23:10:00,2025-08-21 23:10:00,5,0.27121404683862504,239,0.7062827053832543,0.5935018913216562,2,14,0.5125852448853069,0.5505887732937007,0.5128860399824104,[1. 0. 0. ... 0. 0. 0.],[0 1 0 ... 0 1 1],[0.36489546 0.6712166  0.17842963 ... 0.45401385 0.6879009  0.63906974]
2025-02-21 23:10:00,2025-08-21 23:10:00,2025-09-18 23:10:00,6,0.15926418886196322,147,0.9708503940321813,0.8698609211951297,5,40,0.49981401115933044,0.507207427314928,0.49933904961884734,[0. 0. 1. ... 1. 0. 0.],[1 1 0 ... 1 1 1],[0.517926   0.51253414 0.4802011  ... 0.61733353 0.51717246 0.52357167]
